city,province,vacancy_rate,avg_rent,population,year
St. John's,Nfld.Lab.,1.7,1073.0,232699.0,2023
Corner Brook,Nfld.Lab.,1.2,841.0,31017.0,2023
Grand Falls-Windsor,Nfld.Lab.,1.5,794.0,14470.0,2023
Charlottetown,P.E.I.,0.6,1125.0,90528.0,2023
Summerside,P.E.I.,2.7,894.0,19978.0,2023
Halifax,N.S.,1.0,1534.0,517981.0,2023
Cape Breton,N.S.,0.8,901.0,109271.0,2023
Kentville,N.S.,1.6,921.0,28823.0,2023
New Glasgow,N.S.,1.3,914.0,36132.0,2023
Truro,N.S.,1.5,959.0,49635.0,2023
Fredericton,N.B.,1.3,1258.0,118800.0,2023
Moncton,N.B.,1.2,1181.0,178599.0,2023
Saint John,N.B.,2.3,1034.0,139095.0,2023
Bathurst,N.B.,0.0,895.0,32636.0,2023
Edmundston,N.B.,1.7,740.0,23304.0,2023
Miramichi,N.B.,1.5,918.0,29310.0,2023
Saguenay,Que,1.3,746.0,166854.0,2023
Drummondville,Que,0.5,837.0,106079.0,2023
Montréal,Que,1.5,1074.0,4483155.0,2023
Sherbrooke,Que,1.3,918.0,238020.0,2023
Trois-Rivières,Que,0.4,748.0,168621.0,2023
Granby,Que,0.5,961.0,93891.0,2023
Joliette,Que,1.8,850.0,54644.0,2023
Rimouski,Que,0.6,750.0,55403.0,2023
Saint-Hyacinthe,Que,1.9,969.0,62233.0,2023
Shawinigan,Que,0.7,678.0,51172.0,2023
Victoriaville,Que,1.0,745.0,54244.0,2023
Alma,Que,0.6,631.0,30720.0,2023
Amos,Que,0.9,738.0,18943.0,2023
Baie-Comeau,Que,0.5,741.0,26571.0,2023
Cowansville,Que,1.2,870.0,16220.0,2023
Dolbeau-Mistassini,Que,1.0,545.0,15324.0,2023
Hawkesbury,Que,0.0,808.0,1929.0,2023
Lachute,Que,1.0,912.0,15002.0,2023
Matane,Que,1.2,600.0,18847.0,2023
Rivière-du-Loup,Que,0.7,738.0,30647.0,2023
Rouyn-Noranda,Que,0.8,792.0,42832.0,2023
Sainte-Agathe-des-Monts,Que,0.7,983.0,20682.0,2023
Saint-Georges,Que,0.5,622.0,35733.0,2023
Sainte-Marie,Que,0.2,795.0,13677.0,2023
Sept-Îles,Que,1.3,784.0,27815.0,2023
Sorel-Tracy,Que,1.0,745.0,42672.0,2023
Thetford Mines,Que,0.8,610.0,28960.0,2023
Val-d'Or,Que,0.4,822.0,34421.0,2023
Salaberry-de-Valleyfield,Que,0.2,886.0,44839.0,2023
Barrie,Ont.,2.7,1550.0,237923.0,2023
Belleville - Quinte West,Ont.,3.1,1287.0,120939.0,2023
Brantford,Ont.,1.9,1350.0,167212.0,2023
Guelph,Ont.,1.3,1624.0,179960.0,2023
Hamilton,Ont.,2.1,1501.0,843112.0,2023
Kingston,Ont.,0.8,1525.0,188247.0,2023
London,Ont.,1.7,1366.0,606986.0,2023
Oshawa,Ont.,1.5,1623.0,464089.0,2023
Peterborough,Ont.,1.0,1318.0,141476.0,2023
Thunder Bay,Ont.,2.9,1237.0,131031.0,2023
Toronto,Ont.,1.4,1830.0,6837468.0,2023
Windsor,Ont.,2.1,1130.0,468529.0,2023
Chatham-Kent,Ont.,3.2,1099.0,110513.0,2023
Cornwall,Ont.,2.8,1030.0,66369.0,2023
Kawartha Lakes,Ont.,1.5,1431.0,84264.0,2023
Norfolk,Ont.,0.2,1058.0,73284.0,2023
North Bay,Ont.,2.4,1184.0,79745.0,2023
Sarnia,Ont.,2.7,1242.0,106371.0,2023
Sault Ste. Marie,Ont.,1.8,1104.0,84741.0,2023
Brockville,Ont.,4.4,1139.0,33590.0,2023
Centre Wellington,Ont.,2.0,1364.0,33665.0,2023
Cobourg,Ont.,1.7,1447.0,21027.0,2023
Collingwood,Ont.,2.5,1371.0,26799.0,2023
Elliot Lake,Ont.,2.0,890.0,11910.0,2023
Ingersoll,Ont.,1.3,1302.0,14754.0,2023
Midland,Ont.,2.1,1278.0,29722.0,2023
Orillia,Ont.,3.1,1297.0,36150.0,2023
Owen Sound,Ont.,3.5,1100.0,34728.0,2023
Pembroke,Ont.,3.3,1043.0,24847.0,2023
Petawawa,Ont.,0.3,1141.0,19663.0,2023
Port Hope,Ont.,1.0,1573.0,18503.0,2023
Stratford,Ont.,2.2,1508.0,35256.0,2023
Tillsonburg,Ont.,2.2,1049.0,19517.0,2023
Timmins,Ont.,2.5,1167.0,44790.0,2023
Woodstock,Ont.,0.6,1398.0,51142.0,2023
Winnipeg,Man.,1.8,1263.0,910729.0,2023
Brandon,Man.,2.1,963.0,59097.0,2023
Portage la Prairie,Man.,5.5,1047.0,13847.0,2023
Steinbach,Man.,2.7,976.0,19199.0,2023
Thompson,Man.,6.0,1030.0,13264.0,2023
Winkler,Man.,0.6,840.0,35820.0,2023
Regina,Sask.,1.4,1218.0,271516.0,2023
Saskatoon,Sask.,2.0,1274.0,352436.0,2023
Estevan,Sask.,15.0,991.0,13069.0,2023
Lloydminster,Sask.,3.0,1100.0,17430.0,2023
Moose Jaw,Sask.,3.0,1052.0,36729.0,2023
North Battleford,Sask.,3.4,894.0,19858.0,2023
Prince Albert,Sask.,5.4,989.0,47235.0,2023
Swift Current,Sask.,5.4,912.0,19573.0,2023
Weyburn,Sask.,6.3,850.0,12705.0,2023
Yorkton,Sask.,2.2,1038.0,20618.0,2023
Calgary,Alta,1.4,1583.0,1678702.0,2023
Edmonton,Alta,2.3,1292.0,1559106.0,2023
Lethbridge,Alta,2.3,1201.0,134714.0,2023
Red Deer,Alta,0.9,1169.0,108917.0,2023
Grande Prairie,Alta,1.5,1186.0,67811.0,2023
Medicine Hat,Alta,1.1,1066.0,80065.0,2023
Wood Buffalo,Alta,8.8,1375.0,78498.0,2023
Brooks,Alta,1.7,1206.0,15828.0,2023
Camrose,Alta,0.3,1186.0,19605.0,2023
Canmore,Alta,0.9,1852.0,17573.0,2023
High River,Alta,2.2,1153.0,15285.0,2023
Lacombe,Alta,2.5,1283.0,13579.0,2023
Lloydminster,Alta,4.1,1053.0,17430.0,2023
Okotoks,Alta,3.5,1193.0,32098.0,2023
Strathmore,Alta,1.7,1167.0,15106.0,2023
