,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Scheduled Monthly Payments for New Mortgage Loans ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Canada, Provinces, and CMAs,  2012 Q3  to 2025 Q2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geography,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2
,Canada,"1,200","1,190","1,185","1,177","1,227","1,221","1,223","1,200","1,255","1,241","1,248","1,232","1,278","1,269","1,300","1,301","1,347","1,328","1,362","1,366","1,417","1,424","1,471","1,462","1,464","1,432","1,441","1,402","1,434","1,429","1,467","1,448","1,440","1,466","1,488","1,544","1,609","1,553","1,624","1,743","1,909","1,923","1,984","1,920","2,074","2,143","2,135","2,099","2,141","2,042","2,086","2,006"
,Provinces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newfoundland,"1,068","1,069","1,096","1,063","1,097","1,101","1,127","1,101","1,109","1,103","1,105","1,077","1,081","1,087","1,084","1,076","1,060","1,056","1,049","1,050","1,085","1,081","1,122","1,123","1,112","1,088","1,110","1,115","1,098","1,077","1,061","1,046","1,037","1,050","1,006","1,048","1,086","1,044","1,090","1,177","1,333","1,347","1,411","1,332","1,438","1,485","1,456","1,430","1,521","1,474","1,430","1,413"
,Prince Edward Island,859,824,829,781,848,863,871,849,861,827,852,892,855,872,871,835,914,837,943,971,946,968,"1,021","1,047","1,021",998,"1,050","1,039","1,030","1,029","1,065","1,022","1,060","1,069","1,026","1,114","1,144","1,187","1,199","1,271","1,412","1,518","1,422","1,444","1,521","1,583","1,555","1,523","1,589","1,550","1,476","1,684"
,Nova Scotia,"1,010",946,956,964,983,954,977,948,981,943,963,962,991,971,976,968,988,961,"1,017","1,011","1,055","1,048","1,081","1,050","1,103","1,063","1,052","1,046","1,064","1,040","1,043","1,047","1,076","1,062","1,057","1,133","1,191","1,164","1,186","1,302","1,438","1,441","1,449","1,470","1,628","1,622","1,611","1,631","1,692","1,631","1,572","1,590"
,New Brunswick,826,794,811,787,812,804,811,779,811,796,814,797,804,807,808,809,815,811,833,814,844,841,860,872,899,875,882,847,875,845,866,869,866,862,855,895,930,914,953,"1,033","1,161","1,162","1,191","1,178","1,329","1,370","1,338","1,337","1,417","1,366","1,342","1,320"
