REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,POP
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3823029,2.3.2,382.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3823163,2.3.3,438.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3823297,2.3.4,500.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3824101,2.1.2,383.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3824235,2.1.3,437.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3824369,2.1.4,497.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,Dollars,81,units,0,v3824736,2.4.2,397.0,,,,0,29993.0
2001,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,Dollars,81,units,0,v3824924,2.4.3,442.0,,,,0,29993.0
2001,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872766,3.3.2,377.0,,,,0,11395.0
2001,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v3872794,3.3.3,469.0,,,,0,11395.0
2001,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v3872822,3.3.4,474.0,,,,0,11395.0
2001,"Gander, Newfoundland and Labrador",2011A00051006009,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v3872906,3.2.3,586.0,,,,0,11395.0
2001,"Gander, Newfoundland and Labrador",2011A00051006009,Apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v3872990,3.1.2,377.0,,,,0,11395.0
