city,province,latitude,longitude,population,id
Toronto,Ontario,43.7417,-79.3733,5647656,1124279679
Montréal,Quebec,45.5089,-73.5617,3675219,1124586170
Vancouver,British Columbia,49.2500,-123.1000,2426160,1124825478
Calgary,Alberta,51.0500,-114.0667,1306784,1124690423
Edmonton,Alberta,53.5344,-113.4903,1151635,1124290735
Ottawa,Ontario,45.4247,-75.6950,1068821,1124399363
Winnipeg,Manitoba,49.8844,-97.1464,758515,1124224963
Quebec City,Quebec,46.8139,-71.2081,733156,1124823933
Hamilton,Ontario,43.2567,-79.8692,729560,1124567288
Mississauga,Ontario,43.6000,-79.6500,717961,1124112672
Brampton,Ontario,43.6833,-79.7667,656480,1124625989
Surrey,British Columbia,49.1900,-122.8489,568322,1124001454
Kitchener,Ontario,43.4186,-80.4728,522888,1124158530
Halifax,Nova Scotia,44.6475,-63.5906,439819,1124130981
Laval,Quebec,45.5833,-73.7500,438366,1124922301
London,Ontario,42.9836,-81.2497,423369,1124469960
Victoria,British Columbia,48.4283,-123.3647,363222,1124147219
Markham,Ontario,43.8767,-79.2633,338503,1124272698
Oshawa,Ontario,43.9000,-78.8500,335949,1124541904
Vaughan,Ontario,43.8333,-79.5000,323103,1124000141
Windsor,Ontario,42.2833,-83.0000,306519,1124261024
Gatineau,Quebec,45.4833,-75.6500,291041,1124722129
Saskatoon,Saskatchewan,52.1333,-106.6833,266141,1124612546
Longueuil,Quebec,45.5333,-73.5167,254483,1124122753
Burnaby,British Columbia,49.2667,-122.9667,249125,1124817304
St. Catharines,Ontario,43.1833,-79.2333,242460,1124140229
Regina,Saskatchewan,50.4547,-104.6067,226404,1124342541
Oakville,Ontario,43.4500,-79.6833,213759,1124080468
Richmond,British Columbia,49.1667,-123.1333,209937,1124121940
Richmond Hill,Ontario,43.8667,-79.4333,202022,1124364273
Burlington,Ontario,43.3167,-79.8000,186948,1124955083
St. John's,Newfoundland and Labrador,47.4817,-52.7971,185565,1124741456
Kelowna,British Columbia,49.8881,-119.4956,181380,1124080626
Sherbrooke,Quebec,45.4000,-71.9000,172950,1124559506
Sudbury,Ontario,46.4900,-81.0100,166004,1124539524
Barrie,Ontario,44.3711,-79.6769,154676,1124340223
Abbotsford,British Columbia,49.0500,-122.3167,153524,1124808029
Lévis,Quebec,46.8000,-71.1833,149683,1124958950
Coquitlam,British Columbia,49.2839,-122.7919,148625,1124000500
Saguenay,Quebec,48.4167,-71.0667,144723,1124001930
Guelph,Ontario,43.5500,-80.2500,144356,1124968815
Trois-Rivières,Quebec,46.3500,-72.5500,139163,1124407487
Whitby,Ontario,43.8833,-78.9417,138501,1124112077
Cambridge,Ontario,43.3972,-80.3114,138479,1124113576
Milton,Ontario,43.5083,-79.8833,132979,1124001426
Ajax,Ontario,43.8583,-79.0364,126666,1124382916
Waterloo,Ontario,43.4667,-80.5167,121436,1124321390
Terrebonne,Quebec,45.7000,-73.6333,119944,1124993674
Moncton,New Brunswick,46.1328,-64.7714,119785,1124521303
Saanich,British Columbia,48.4840,-123.3810,117735,1124000949
White Rock,British Columbia,49.0250,-122.8028,109167,1124260555
Thunder Bay,Ontario,48.3822,-89.2461,108843,1124398712
Delta,British Columbia,49.0847,-123.0586,108455,1124001200
Nanaimo,British Columbia,49.1642,-123.9364,106079,1124623893
Brantford,Ontario,43.1667,-80.2500,104688,1124737006
Chatham,Ontario,42.4229,-82.1324,103988,1124393373
Clarington,Ontario,43.9350,-78.6083,101427,1124000882
Saint-Jérôme,Quebec,45.7833,-74.0000,100859,1124268324
