"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,"Newfoundland and Labrador",,,,,,,,,,,"Prince Edward Island",,,,,,,,,,,"Nova Scotia",,,,,,,,,,,"New Brunswick",,,,,,,,,,,"Quebec",,,,,,,,,,,"Ontario",,,,,,,,,,,"Manitoba",,,,,,,,,,,"Saskatchewan",,,,,,,,,,,"Alberta",,,,,,,,,,,"British Columbia",,,,,,,,,,,"Yukon",,,,,,,,,,,"Northwest Territories including Nunavut (Terminated) 7",,,,,,,,,,,"Northwest Territories 8",,,,,,,,,,,"Nunavut 8",,,,,,,,,,
"Gender","Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,,"Total - gender",,,,,,,,,,
"Age group 3 6","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","35,080,992","35,434,066","35,704,498","36,110,803","36,545,075","37,072,620","37,618,495","38,028,638","38,239,864","38,950,132","40,049,088","526,960","527,970","528,348","529,586","529,742","528,402","527,643","526,884","527,056","531,257","538,789","143,942","144,095","144,636","146,891","149,740","152,259","155,792","159,193","162,133","167,200","173,734","939,808","937,768","937,419","942,984","952,159","962,072","975,799","989,168","999,908","1,024,034","1,053,005","758,261","758,657","759,226","763,322","766,697","770,497","777,387","783,432","790,802","808,869","831,103","8,108,825","8,147,535","8,175,743","8,225,036","8,292,832","8,386,951","8,483,186","8,551,095","8,572,020","8,669,963","8,821,696","13,511,902","13,617,763","13,709,293","13,876,500","14,078,499","14,326,746","14,573,565","14,761,811","14,842,488","15,155,836","15,632,481","1,263,393","1,277,425","1,293,598","1,314,140","1,334,734","1,352,687","1,370,033","1,380,132","1,391,924","1,413,498","1,453,202","1,098,868","1,111,989","1,122,210","1,135,496","1,147,315","1,156,210","1,164,223","1,167,386","1,167,711","1,178,796","1,210,257","3,978,532","4,081,271","4,150,147","4,195,427","4,237,310","4,292,556","4,355,377","4,407,495","4,431,531","4,512,731","4,688,576","4,634,943","4,712,691","4,765,472","4,861,269","4,934,202","5,020,979","5,111,022","5,176,101","5,226,665","5,358,845","5,515,296","36,454","37,085","37,669","38,549","39,533","40,403","41,187","41,958","42,961","43,869","45,419","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","43,774","43,851","44,247","44,624","44,656","44,536","44,442","44,504","44,579","44,631","44,614","35,330","35,966","36,490","36,979","37,656","38,322","38,839","39,479","40,086","40,603","40,916"
"0 to 4 years","1,926,496","1,929,371","1,930,005","1,943,799","1,948,684","1,952,216","1,949,121","1,937,161","1,902,883","1,887,192","1,874,658","23,987","23,647","23,134","22,890","22,713","22,073","21,227","20,481","19,787","19,585","19,176","7,176","7,156","7,119","7,215","7,324","7,363","7,268","7,153","7,112","7,174","7,154","43,919","43,338","42,633","42,633","42,737","42,841","43,031","42,852","42,040","42,158","42,083","36,196","35,665","34,958","34,801","34,613","34,478","34,281","33,697","33,299","33,455","33,731","445,155","444,513","442,760","442,624","441,592","441,178","438,219","434,505","425,549","424,910","422,432","720,027","717,626","714,741","718,858","721,369","726,384","730,104","730,444","720,216","715,341","711,902","80,749","81,760","82,886","84,589","85,465","85,836","85,857","85,468","84,331","82,771","81,668","73,177","74,106","74,893","76,046","76,794","76,857","75,769","74,255","72,315","70,928","70,203","262,905","267,858","271,121","274,239","274,829","274,159","272,948","269,237","261,279","256,887","257,234","223,660","224,050","226,034","230,028","231,413","231,196","230,518","229,167","227,007","224,314","219,735","2,108","2,151","2,207","2,257","2,250","2,269","2,321","2,317","2,310","2,243","2,251","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,192","3,159","3,183","3,290","3,210","3,147","3,119","3,078","3,014","2,898","2,678","4,245","4,342","4,336","4,329","4,375","4,435","4,459","4,507","4,624","4,528","4,411"
"5 to 9 years","1,892,241","1,930,745","1,969,407","2,004,040","2,026,743","2,043,748","2,056,265","2,067,384","2,072,565","2,090,692","2,120,248","25,407","25,617","25,916","25,939","25,476","24,751","24,176","23,442","23,186","23,280","23,532","7,615","7,684","7,752","8,020","8,150","8,171","8,271","8,294","8,250","8,427","8,533","44,229","44,492","45,276","46,016","46,655","46,665","46,843","47,192","47,656","48,781","50,092","36,620","36,929","37,516","38,304","38,365","38,166","38,296","38,533","38,481","39,431","40,807","413,281","426,276","438,421","447,045","455,156","463,565","467,924","470,130","468,179","467,912","468,762","739,746","745,923","752,316","760,228","765,051","768,588","772,961","777,455","779,955","785,359","796,285","78,290","79,978","82,037","83,934","85,444","86,589","87,413","87,961","88,331","89,409","91,172","68,479","70,446","72,703","74,902","76,216","76,979","77,451","77,673","77,348","77,941","79,775","244,270","255,083","264,906","272,659","275,764","277,266","278,593","280,083","282,243","285,866","293,186","225,501","229,366","233,328","237,701","241,090","243,546","244,756","247,029","249,299","254,466","258,187","2,008","2,063","2,106","2,150","2,224","2,274","2,310","2,368","2,425","2,448","2,508","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,048","3,026","3,079","3,036","3,045","3,033","3,034","2,971","2,970","2,976","2,979","3,747","3,862","4,051","4,106","4,107","4,155","4,237","4,253","4,242","4,396","4,430"
"10 to 14 years","1,887,081","1,893,854","1,895,854","1,920,169","1,952,245","2,001,618","2,047,524","2,092,804","2,114,016","2,146,637","2,187,386","26,629","26,502","26,084","26,031","25,846","25,825","25,824","26,038","25,876","25,730","25,729","7,996","7,945","7,850","7,880","8,136","8,363","8,620","8,762","8,883","9,081","9,220","47,018","46,436","45,603","45,776","45,704","46,463","47,190","48,411","49,084","50,828","52,304","38,588","38,275","37,691","37,926","38,004","38,454","39,039","39,850","40,243","41,592","43,063","396,348","396,573","396,374","402,734","413,132","429,317","446,343","462,494","470,612","479,213","488,388","753,309","754,533","754,377","761,527","770,176","784,570","794,501","803,800","807,179","814,757","825,054","79,634","80,032","79,727","80,399","81,352","82,927","84,484","86,262","86,947","88,203","90,621","66,579","67,489","67,435","68,835","70,103","72,162","73,886","75,770","76,912","78,271","80,689","228,934","233,970","238,544","244,661","252,059","260,676","268,781","276,732","280,980","286,361","294,703","234,056","233,928","233,980","236,151","239,281","244,173","250,101","255,696","258,166","263,306","268,239","1,955","1,999","2,014","2,064","2,114","2,161","2,214","2,269","2,303","2,426","2,483","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","2,804","2,840","2,828","2,759","2,812","2,881","2,862","2,947","2,949","2,936","2,908","3,231","3,332","3,347","3,426","3,526","3,646","3,679","3,773","3,882","3,933","3,985"
"15 to 19 years","2,158,367","2,124,336","2,100,302","2,089,925","2,081,573","2,083,934","2,089,984","2,082,685","2,059,975","2,140,739","2,230,085","28,943","28,496","28,312","27,992","27,735","27,295","26,973","26,499","26,116","26,886","27,429","9,127","9,002","8,983","8,866","8,722","8,851","8,981","9,137","8,934","9,358","9,793","54,553","53,165","52,924","52,223","51,832","51,134","50,870","50,171","48,907","50,195","52,400","43,326","41,972","41,598","41,075","40,762","40,418","40,394","39,709","39,276","41,057","43,052","464,303","449,406","438,576","429,985","423,143","420,956","425,037","427,907","429,721","443,259","460,783","868,919","856,238","845,303","842,395","842,151","844,382","844,994","840,767","824,719","856,254","890,061","86,165","85,146","85,876","86,665","87,177","87,245","86,797","84,638","83,363","85,427","89,337","71,158","70,379","70,531","70,467","69,805","69,433","69,892","69,405","69,652","71,630","75,593","244,582","245,681","246,967","247,410","247,328","249,925","253,118","255,263","256,844","267,785","281,936","278,760","276,681","273,112","274,741","274,880","276,319","274,804","271,013","264,216","280,440","291,127","2,096","2,042","2,043","2,069","2,081","2,058","2,063","2,127","2,176","2,251","2,324","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,206","2,973","2,894","2,867","2,757","2,683","2,715","2,687","2,722","2,766","2,772","3,229","3,155","3,183","3,170","3,200","3,235","3,346","3,362","3,329","3,431","3,478"
"20 to 24 years","2,417,497","2,424,267","2,399,432","2,394,672","2,418,375","2,457,110","2,489,653","2,473,470","2,404,398","2,465,156","2,589,895","31,375","30,713","29,753","29,353","28,951","28,633","28,601","28,663","28,371","28,977","29,671","9,448","9,114","9,002","9,095","9,351","9,530","10,453","11,541","12,161","12,832","14,223","62,779","61,234","59,989","59,542","60,021","60,544","62,223","63,071","62,837","64,197","65,720","46,511","45,628","44,568","43,777","43,388","42,902","43,080","43,600","44,232","45,606","46,757","535,908","534,544","525,984","517,981","512,103","506,386","504,104","499,297","481,776","482,972","492,876","947,873","951,841","948,922","958,411","983,169","1,014,565","1,033,680","1,025,395","988,890","1,028,438","1,099,979","90,586","91,384","92,663","93,082","94,432","96,022","97,486","98,102","101,074","105,632","109,283","79,744","78,666","77,215","75,805","75,219","74,116","73,674","72,843","71,911","72,650","75,822","287,272","289,790","287,339","280,698","275,275","274,071","275,427","275,506","271,127","275,827","291,443","316,641","322,079","315,001","318,292","327,733","341,620","352,373","346,906","333,460","339,415","355,322","2,487","2,437","2,326","2,214","2,293","2,358","2,345","2,357","2,471","2,538","2,662","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,597","3,589","3,455","3,314","3,296","3,174","2,999","2,951","2,881","2,851","2,891","3,276","3,248","3,215","3,108","3,144","3,189","3,208","3,238","3,207","3,221","3,246"
"25 to 29 years","2,392,494","2,413,326","2,432,054","2,469,206","2,520,707","2,591,885","2,653,167","2,679,330","2,674,655","2,747,627","2,897,646","30,632","30,206","30,332","30,230","30,050","29,441","28,903","27,969","27,529","27,616","28,772","7,980","8,017","8,107","8,258","8,685","9,151","9,539","9,861","10,461","11,169","12,537","56,636","56,604","56,903","57,979","59,385","60,890","62,956","64,344","66,000","68,542","72,673","43,664","42,842","42,358","42,173","42,538","42,976","43,813","44,212","45,081","46,542","48,405","513,369","509,608","510,593","519,095","537,067","555,096","567,233","567,585","557,103","553,142","562,271","910,214","918,821","927,348","947,766","975,385","1,018,634","1,057,269","1,085,649","1,094,116","1,146,004","1,229,446","87,096","88,644","90,780","93,855","96,327","97,937","99,256","98,922","99,720","102,803","109,304","82,640","83,689","84,224","84,461","84,048","83,001","81,499","78,463","75,837","75,675","77,700","329,518","337,429","341,809","336,556","329,636","325,215","320,152","312,876","303,720","305,991","324,154","321,164","327,837","329,883","338,797","347,366","359,293","372,317","379,258","384,973","399,970","421,905","2,743","2,771","2,822","2,924","3,050","3,139","3,192","3,181","3,150","3,269","3,544","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,767","3,707","3,727","3,807","3,798","3,778","3,736","3,642","3,603","3,612","3,643","3,071","3,151","3,168","3,305","3,372","3,334","3,302","3,368","3,362","3,292","3,292"
"30 to 34 years","2,409,481","2,444,256","2,456,947","2,484,570","2,507,762","2,544,390","2,598,609","2,660,337","2,704,004","2,805,364","2,984,138","31,149","31,238","31,020","30,901","30,557","29,965","29,383","29,249","29,254","29,713","30,611","8,007","7,891","7,961","8,345","8,577","8,680","8,941","9,434","9,796","10,205","10,934","55,231","54,454","53,848","54,679","56,118","57,265","58,884","61,140","63,436","67,172","72,497","44,769","44,546","43,803","43,671","43,619","43,570","43,941","44,472","45,337","47,405","50,590","563,930","558,346","545,774","534,519","529,532","532,821","538,666","548,735","559,767","579,267","608,687","890,959","901,802","911,880","930,684","947,739","971,535","1,005,599","1,041,463","1,064,707","1,114,626","1,199,459","84,344","86,490","88,436","91,020","93,340","94,954","96,173","97,146","97,633","99,514","104,454","76,237","79,238","81,315","83,218","84,696","84,706","84,506","84,038","82,872","82,439","84,999","328,778","344,381","352,118","354,980","354,197","352,714","352,499","352,682","346,990","349,679","369,089","316,851","326,410","331,165","342,632","349,285","357,935","369,614","381,364","393,278","414,227","441,574","2,736","2,921","3,041","3,238","3,396","3,469","3,543","3,655","3,792","3,890","4,079","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","3,716","3,690","3,686","3,736","3,748","3,742","3,717","3,771","3,837","3,888","3,868","2,774","2,849","2,900","2,947","2,958","3,034","3,143","3,188","3,305","3,339","3,297"
