Year,Province,Total,Singles,Semis,Row,Apartment_and_Other
2013,Alberta,15926.0,11931.0,2620.0,2637.0,2354.0
2013,British Columbia,16350.0,9632.0,2014.0,2635.0,7775.0
2013,Manitoba,2599.0,1496.0,792.0,894.0,496.0
2013,New Brunswick,3629.0,2883.0,1002.0,369.0,2028.0
2013,Newfoundland and Labrador,2679.0,1899.0,90.0,150.0,1788.0
2013,Nova Scotia,1900.0,3246.0,924.0,645.0,84.0
2013,Ontario,29762.0,21470.0,4467.0,11594.0,10250.0
2013,Prince Edward Island,1524.0,552.0,234.0,171.0,567.0
2013,Quebec,27943.0,13890.0,5824.0,2822.0,15526.0
2013,Saskatchewan,3058.0,2645.0,1602.0,2229.0,4182.0
2015,Alberta,17069.0,10665.0,1922.0,2292.0,3593.0
2015,British Columbia,16480.0,11148.0,2656.0,3865.0,6481.0
2015,Manitoba,1920.0,1075.0,729.0,1446.0,510.0
2015,New Brunswick,2486.0,1953.0,504.0,285.0,987.0
2015,Newfoundland and Labrador,1755.0,2062.0,63.0,279.0,1164.0
2015,Nova Scotia,1846.0,2114.0,606.0,540.0,262.0
2015,Ontario,24940.0,23092.0,3074.0,10025.0,10195.0
2015,Prince Edward Island,648.0,381.0,90.0,18.0,159.0
2015,Quebec,21347.0,10803.0,4728.0,2664.0,16066.0
2015,Saskatchewan,2334.0,3404.0,1188.0,2283.0,2338.0
2016,Alberta,12596.0,7356.0,2142.0,2058.0,3296.0
2016,British Columbia,17702.0,11927.0,2148.0,4361.0,10132.0
2016,Manitoba,1704.0,778.0,1056.0,1332.0,494.0
2016,New Brunswick,2898.0,2190.0,558.0,390.0,2712.0
2016,Newfoundland and Labrador,1473.0,2784.0,171.0,78.0,807.0
2016,Nova Scotia,1710.0,2052.0,660.0,477.0,284.0
2016,Ontario,31118.0,25829.0,3246.0,11155.0,9450.0
2016,Prince Edward Island,1356.0,465.0,144.0,213.0,534.0
2016,Quebec,25230.0,10236.0,4416.0,1954.0,15975.0
2016,Saskatchewan,1776.0,2802.0,756.0,1866.0,2126.0
2017,Alberta,10954.0,7788.0,2350.0,2990.0,1585.0
2017,British Columbia,19578.0,13195.0,2062.0,3889.0,10129.0
2017,Manitoba,1946.0,1254.0,960.0,1293.0,314.0
