date,city,"dual-parent-families","single-parent-families","single-individuals"
2000,"Calgary, Alberta",66600.0,30300.0,23800.0
2000,"Halifax, Nova Scotia",60200.0,23200.0,20300.0
2000,"Montréal, Quebec",55800.0,26000.0,17700.0
2000,"Saskatoon, Saskatchewan",58100.0,22500.0,18700.0
2000,"St. John's, Newfoundland and Labrador",56200.0,21300.0,15400.0
2000,"Toronto, Ontario",61700.0,29400.0,21600.0
2000,"Vancouver, British Columbia",55200.0,26600.0,20600.0
2000,"Winnipeg, Manitoba",58400.0,25400.0,19400.0
2001,"Calgary, Alberta",71500.0,32900.0,25600.0
2001,"Halifax, Nova Scotia",63100.0,25000.0,21300.0
2001,"Montréal, Quebec",58300.0,28200.0,18900.0
2001,"Saskatoon, Saskatchewan",61400.0,23700.0,19800.0
2001,"St. John's, Newfoundland and Labrador",59800.0,23800.0,16600.0
2001,"Toronto, Ontario",64700.0,31900.0,22600.0
2001,"Vancouver, British Columbia",58100.0,29100.0,21700.0
2001,"Winnipeg, Manitoba",60900.0,27300.0,20600.0
2002,"Calgary, Alberta",73000.0,34100.0,26000.0
2002,"Halifax, Nova Scotia",65200.0,26100.0,22000.0
2002,"Montréal, Quebec",59900.0,29100.0,19200.0
2002,"Saskatoon, Saskatchewan",63600.0,24600.0,20500.0
2002,"St. John's, Newfoundland and Labrador",62300.0,24700.0,16900.0
2002,"Toronto, Ontario",64800.0,32600.0,21800.0
2002,"Vancouver, British Columbia",58700.0,29700.0,21100.0
2002,"Winnipeg, Manitoba",62800.0,28400.0,21000.0
2003,"Calgary, Alberta",74500.0,34500.0,26400.0
2003,"Halifax, Nova Scotia",66800.0,26800.0,22300.0
2003,"Montréal, Quebec",61000.0,29800.0,19700.0
2003,"Saskatoon, Saskatchewan",65300.0,24900.0,21000.0
2003,"St. John's, Newfoundland and Labrador",64300.0,25000.0,17700.0
2003,"Toronto, Ontario",65700.0,32300.0,22000.0
2003,"Vancouver, British Columbia",59700.0,29400.0,21200.0
2003,"Winnipeg, Manitoba",64300.0,28800.0,21500.0
2004,"Calgary, Alberta",77800.0,35800.0,27200.0
2004,"Halifax, Nova Scotia",69000.0,27900.0,22200.0
2004,"Montréal, Quebec",62700.0,30500.0,20200.0
2004,"Saskatoon, Saskatchewan",68100.0,25600.0,21600.0
2004,"St. John's, Newfoundland and Labrador",65500.0,25000.0,18100.0
2004,"Toronto, Ontario",67500.0,33100.0,22200.0
