REF_DATE,GEO,DGUID,Type of structure,Type of unit,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135513,192.3.1,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135513,192.3.1,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135513,192.3.1,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135513,192.3.1,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135513,192.3.1,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135529,192.3.2,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135529,192.3.2,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135529,192.3.2,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135529,192.3.2,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,One bedroom units,Dollars,81,units,0,v42135529,192.3.2,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135545,192.3.3,656,,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135545,192.3.3,696,,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135545,192.3.3,701,,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135545,192.3.3,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135545,192.3.3,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135561,192.3.4,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135561,192.3.4,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135561,192.3.4,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135561,192.3.4,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135561,192.3.4,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v42135577,192.2.1,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v42135577,192.2.1,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v42135577,192.2.1,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v42135577,192.2.1,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Bachelor units,Dollars,81,units,0,v42135577,192.2.1,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v42135593,192.2.2,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v42135593,192.2.2,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v42135593,192.2.2,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v42135593,192.2.2,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,One bedroom units,Dollars,81,units,0,v42135593,192.2.2,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135609,192.2.3,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135609,192.2.3,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135609,192.2.3,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135609,192.2.3,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Two bedroom units,Dollars,81,units,0,v42135609,192.2.3,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135625,192.2.4,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135625,192.2.4,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135625,192.2.4,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135625,192.2.4,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row structures of three units and over,Three bedroom units,Dollars,81,units,0,v42135625,192.2.4,0,,,,0
2020,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135641,192.1.1,,F,,,0
2021,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135641,192.1.1,,F,,,0
2022,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135641,192.1.1,,F,,,0
2023,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135641,192.1.1,0,,,,0
2024,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Bachelor units,Dollars,81,units,0,v42135641,192.1.1,0,,,,0
