"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","91900","C","","","0"
"2001","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","91800","C","","","0"
"2002","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","91300","C","","","0"
"2003","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","92700","D","","","0"
"2004","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","97000","D","","","0"
"2005","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","95800","C","","","0"
"2006","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","95500","C","","","0"
"2007","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","101200","D","","","0"
"2008","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","102900","C","","","0"
"2009","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","114000","C","","","0"
"2010","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","98600","D","","","0"
"2011","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","97200","D","","","0"
"2012","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","95300","D","","","0"
"2013","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","117300","C","","","0"
"2014","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","106000","C","","","0"
"2015","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","109500","C","","","0"
"2016","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","103100","D","","","0"
"2017","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","108000","C","","","0"
"2018","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","108500","C","","","0"
"2019","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","113200","C","","","0"
"2020","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","127000","C","","","0"
"2021","Québec, Quebec","2021S0503421","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96428131","14.7.1.4","117700","C","","","0"
